nbhd_code,UHI2003,UHI2004,UHI2005,UHI2006,UHI2007,UHI2008,UHI2009,UHI2010,UHI2011,UHITREND,Cities_urbanLST_count
atlanta_031,-0.017549115,0.032395369,0.059288757,-0.054479019,0.132743046,0.015428949,0.101615859,-0.14153766,-0.152671587,-0.151287801,17
atlanta_032,2.030480564,2.207706951,2.216568015,2.259097147,2.117471053,2.026391011,2.279430196,2.138600778,1.970258772,-0.092531244,21
atlanta_033,1.103650331,1.117193258,1.015973144,1.117069044,1.133291329,0.944776002,1.158194487,1.010787885,0.954427556,-0.133992929,5
atlanta_034,3.349828922,3.358930126,3.193381849,2.993185585,2.992088574,3.291332869,3.288205834,2.897818058,3.055935195,-0.345185976,3
atlanta_035,5.522103775,5.350306862,5.592840312,5.099749835,5.024435141,5.227935332,5.67777655,5.145999643,5.166425514,-0.289596121,2
atlanta_036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_037,3.983607049,4.034497345,4.583647544,3.885090991,3.79265588,3.890056178,4.263918858,3.729177762,3.945036015,-0.284122512,2
atlanta_038,3.522695307,3.746673152,4.308105582,3.649807759,3.663406651,3.862607898,4.025031086,3.611871735,3.76364077,0.034338125,1
atlanta_039,4.495488732,4.621255066,5.081839551,4.379164727,4.333399173,4.468521589,4.885028176,4.396287864,4.578719418,-0.107707458,1
atlanta_040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_041,4.798094025,4.803710995,4.957877768,4.30704563,4.470462096,4.812164097,5.026762158,4.421069316,4.423019553,-0.334222613,1
atlanta_042,1.056697968,1.078091422,1.016986825,1.266518988,0.970070663,0.920661256,1.127530769,1.137825069,1.228832671,0.123828318,3
atlanta_043,0.752566473,0.758222032,0.767445746,0.900737663,0.809766545,0.689916441,0.842438184,0.805414746,0.868533502,0.090768319,2
atlanta_044,0.112095442,0.161368709,0.299599065,0.169003145,0.326125337,0.089697703,0.133061435,0.152412584,0.155569386,-0.04422555,11
atlanta_045,-0.070119132,-0.002931254,-0.122269858,-0.248994635,-0.410728834,-0.05780165,-0.171024317,-0.198503285,-0.160592473,-0.142487565,9
atlanta_046,0.756797007,0.822057392,0.91130809,0.89929539,0.694458651,0.851617095,0.803299467,0.904614295,0.940289603,0.119657592,8
atlanta_047,1.005304808,1.03503874,0.919678225,1.096079812,0.764069834,0.753187884,0.961538661,1.064587918,1.094653875,0.031145458,5
atlanta_048,2.217460026,2.155409749,1.893431012,1.824296139,1.814316505,2.224994801,1.973949365,1.972413783,2.063966072,-0.100204724,2
atlanta_049,2.299037568,2.280815924,2.064587302,1.848691832,1.947924245,2.477770941,2.108383619,2.106947993,2.169221219,-0.054032908,2
atlanta_050,5.211175026,5.156528376,5.540868687,4.71696674,5.090075748,5.282105255,5.618676659,5.227914914,5.12516145,0.098476628,2
atlanta_051,5.267448624,5.280774611,5.738734084,4.985378994,5.033957988,5.126609425,5.741105735,5.27824476,5.316344393,0.055661209,1
atlanta_052,3.518301308,3.594764496,3.457172735,3.064786935,3.15585808,3.605865503,3.555114086,3.116590199,3.238501488,-0.302793484,1
atlanta_053,4.475965043,4.473054866,4.995210179,4.38479933,4.453958831,4.538583843,5.073055368,4.572245322,4.662227105,0.225349085,1
atlanta_054,3.949313789,4.149287539,4.58671643,4.017016867,4.019602816,4.160897839,4.549428774,4.102003179,4.21952735,0.168051137,1
atlanta_055,2.720518999,2.975282978,3.23979125,2.939346018,3.051503858,3.163562911,3.26976484,3.038030446,3.023904305,0.280991283,3
atlanta_056,3.416557183,3.502364167,3.951180373,3.552986221,3.670278957,3.74318406,4.035442849,3.697047034,3.725312711,0.362965584,3
