nbhd_code,PM25_1998,PM25_1999,PM25_2000,PM25_2001,PM25_2002,PM25_2003,PM25_2004,PM25_2005,PM25_2006,PM25_2007,PM25_2008,PM25_2009,PM25_2010,PM25_2011,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PMTREND
atlanta_069,18.53018373,16,14.01049869,13,15,13.2808399,13.2808399,15,14,14.01049869,9.010498688,9.280839895,10.2808399,11.01049869,9.530183727,9.280839895,9.280839895,10,-4.544041129
atlanta_126,19.87512008,17.07300672,15.20653218,13.6301633,15.6301633,14.24495677,14.24495677,15.62632085,14.6301633,14.89337176,9.763688761,10.24495677,11.24495677,11.89337176,10.24495677,10.24495677,9.93179635,10.41594621,-4.763856297
atlanta_064,18.94280443,16.28782288,14.28782288,13.14760148,15.14760148,13.79520295,13.79520295,15.14760148,14.14760148,14.25092251,9.147601476,9.684501845,10.68450185,11.25092251,9.795202952,9.795202952,9.647601476,10.03690037,-4.55706229
atlanta_027,19.41519674,16.56716418,14.65400271,13.56716418,15.48032564,14.10176391,14,15.44776119,14.48032564,14.91316147,9.567164179,10,11,11.56716418,10,9.913161465,9.654002714,10,-4.734419654
atlanta_074,19.12217659,16.43634497,14.69404517,13.69404517,15.48151951,14,14,15.2238193,14.48151951,14.88603696,9.694045175,10,11,11.69404517,10,10,9.886036961,10.2238193,-4.566107865
atlanta_070,19.36889332,16.54336989,14.75772682,13.69790628,15.69790628,14,14,15.11864407,14.57926221,14.75772682,9.579262213,9.75772682,11,11.75373878,10,10,9.75772682,10.11864407,-4.702939684
atlanta_125,18.62720848,16.15547703,14.15547703,13.15547703,15.15547703,14,14,15,14.10600707,14.5,9.106007067,9.634275618,11,11.15547703,10,10,9.155477032,10,-4.50475336
atlanta_014,18.01239669,15.01239669,14,13,15,13.01239669,14,15,14,14.01239669,9,9,10.0661157,11,9.292355372,9.292355372,9,10,-4.416839375
atlanta_028,18.5295858,15.5295858,14.10157791,13.10157791,15.10157791,13.5295858,13.90631164,15,14.10157791,14.5295858,9.07790927,9.529585799,10.67061144,11.07790927,9.717948718,9.717948718,9.313609467,10,-4.415866212
atlanta_045,18.2735797,15.47766133,14.0413679,13.0413679,15.0413679,13.43629344,13.91230006,15,14.0413679,14.11362383,9.041367899,9.17539989,10.34197463,11.0413679,9.436293436,9.341974628,9.056811914,10,-4.508358108
atlanta_079,18.68341709,15.68341709,14.14070352,13.14070352,15.14070352,13.54271357,14,15,14.14070352,14.54271357,9.140703518,9.140703518,10.54271357,11.14070352,9.542713568,9.542713568,9.140703518,10,-4.577739058
atlanta_068,18.52051282,16.02051282,14.46923077,13,15,14,14,15,14,14.46923077,9,9.469230769,10.46923077,11.02051282,10,10,9.469230769,10,-4.488476092
atlanta_065,18.17712177,16,14.17712177,13,15,13.2804428,14,15,14,14.05904059,9,9.177121771,10.17712177,11,10,9.280442804,9.05904059,10,-4.536232049
atlanta_114,18.94374121,16,14.27988748,13,15,14,14,15,14,14,9,9.279887482,10.41350211,11,10,9.832630098,9,10,-4.649783223
atlanta_050,18.36820084,16,14.10041841,13,15,13.36820084,13.46861925,15,14,14,9,9.10041841,10.10041841,11,9.468619247,9.368200837,9,10,-4.606180725
atlanta_066,18.69230769,16.24358974,14.3974359,13.24358974,15.24358974,13.69230769,13.87692308,15,14,14.3974359,9,9.397435897,10.69230769,11.24358974,9.784615385,9.692307692,9.397435897,10,-4.609668968
atlanta_109,18.69168901,16,14.4691689,13,15.17158177,13.69168901,14,15,14,14.17158177,9,9.469168901,10.69168901,11,9.691689008,9.691689008,9.469168901,10,-4.574268822
atlanta_106,19.49408284,16.5295858,14.83431953,13.5295858,15.83431953,14,14,15,14.49408284,14.83431953,9.49408284,9.834319527,11,11.5295858,10,10,9.834319527,10,-4.749726737
atlanta_067,19.29261364,16.37215909,14.38920455,13.37215909,15.38920455,14,14,15,14.37215909,14.92045455,9.372159091,9.389204545,11,11.37215909,10,10,9.389204545,10,-4.679203022
atlanta_075,19.9827957,16.9827957,15,13.9827957,16,14,14,15,14.9827957,15,9.982795699,10,11,11.9827957,10,10,10,10,-4.906599199
atlanta_049,19.4961039,16.4961039,15,13.4961039,15.67012987,14,14,15,14.4961039,14.67012987,9.496103896,10,11,11.4961039,10,10,10,10,-4.718641525
atlanta_012,18,16,14,13,15,13,13.49009901,14.88118812,14,14,9,9,10,11,9,9,9,10,-4.613973781
atlanta_052,18.87644788,16,14.10810811,13,15.04633205,13.98455598,14,15,14,14,9,9.876447876,10.87644788,11,9.984555985,9.876447876,9.108108108,10,-4.533033698
atlanta_041,18,16,14,13,15,13.67293233,13.67293233,14.67293233,14,14,9,9,10,11,9.672932331,9,9,10,-4.589181933
atlanta_048,19.19762846,16.19762846,14.97628458,13.19762846,15.97628458,14,14,15,14.19762846,14.19762846,9.197628458,10,11,11.19762846,10,10,9.976284585,10,-4.653874863
atlanta_034,19.11244019,16.72248804,14.81818182,13.72248804,15.81818182,13.93301435,14,15,14,14.18899522,9.722488038,9.923444976,10.92344498,11.72248804,9.933014354,9.923444976,9.818181818,10,-4.723905175
atlanta_060,19.62118492,16.68581688,14.7432675,13.6427289,15.7432675,14,14,15,14,14.62118492,9.642728905,10,10.7432675,11.6427289,10,10,9.743267504,10,-4.794463188
atlanta_103,18,16,14,13,15,13.29268293,13.97212544,14.97212544,14,14,9,9.195121951,10,11,9.292682927,9,9,10,-4.619511477
atlanta_035,18.27124183,16,14,13,15,13.81699346,13.81699346,14.89542484,14,14,9,9.816993464,10,11,9.816993464,9,9,10,-4.602986705
atlanta_112,18,16,14,13,15,13,13,14,14,14,9,9,10,11,9,9,9,10,-4.561403509
atlanta_040,18.2464455,16,14.13270142,13,15,13.2464455,13.52843602,15,14,14,9,9.246445498,10.13270142,11,9.246445498,9.132701422,9,10,-4.630390445
atlanta_097,18,16,14,13,15,13,13,14.18018018,14,14,9,9,10,11,9,9,9,10,-4.566981843
