"nbhd_code","PM25_2014"
"amsterdam_028",11
"amsterdam_027",12.1574803149606
"amsterdam_015",12.6626016260163
"amsterdam_017",13
"amsterdam_016",13
"amsterdam_014",13
"amsterdam_013",12.2408088235294
"amsterdam_012",12.1726618705036
"amsterdam_011",11.0324858757062
"amsterdam_089",14.7890556045896
"amsterdam_083",15.4511173184358
"amsterdam_084",14.3443830570902
"amsterdam_036",11.0176991150442
"amsterdam_037",13.4135621598995
"amsterdam_035",10.3926174496644
"amsterdam_040",14
"amsterdam_085",15.8529886914378
"amsterdam_006",13.014598540146
"amsterdam_088",14.6430412371134
"amsterdam_078",12.9003831417625
"amsterdam_079",11.992606284658
"amsterdam_090",11.4188679245283
"amsterdam_082",10.8476821192053
"amsterdam_081",11.45
"amsterdam_092",12.1759530791789
"amsterdam_087",11.027972027972
"amsterdam_091",13.9451219512195
"amsterdam_086",10
"amsterdam_080",10
"amsterdam_069",13.6386449184442
"amsterdam_010",14.7988394584139
"amsterdam_009",15.4786096256684
"amsterdam_065",15.9367588932806
"amsterdam_067",15.7101449275362
"amsterdam_068",15.2415458937198
"amsterdam_070",14.3391038696538
"amsterdam_075",15.5844897959184
"amsterdam_076",15
"amsterdam_074",15.4654178674352
"amsterdam_066",15
"amsterdam_064",15.1721854304636
"amsterdam_077",14.9934640522876
"amsterdam_059",15.5777777777778
"amsterdam_058",15.6521739130435
"amsterdam_063",15
"amsterdam_050",15.3333333333333
"amsterdam_049",14.8923766816143
"amsterdam_057",15.1425178147268
"amsterdam_048",14.5888888888889
"amsterdam_008",14.5018450184502
"amsterdam_004",14.604
"amsterdam_005",15.1019108280255
"amsterdam_002",13.8588235294118
"amsterdam_001",14.1509433962264
"amsterdam_003",13.8518518518519
"amsterdam_007",13.0511508951407
"amsterdam_056",14.1393034825871
"amsterdam_060",14.1226993865031
"amsterdam_062",14.9774330042313
"amsterdam_093",14.5104640582348
"amsterdam_097",14.5076233183857
"amsterdam_094",14.0332075471698
"amsterdam_095",13.9646643109541
"amsterdam_099",14.0042689434365
"amsterdam_096",13.8032258064516
"amsterdam_098",14.5179677819083
"amsterdam_073",15.2624584717608
"amsterdam_072",15.3
"amsterdam_071",15.1086956521739
"london_031",11.6435170636666
"london_026",11.4002253325822
"london_016",10.8586071817193
"london_001",10.909399159094
"london_025",12.0590811102129
"london_030",11.687701064093
"london_011",10.7269808389435
"london_023",9.4361813244203
"london_003",10.7114085817123
"london_005",9.31329428846436
"london_008",8.79904753805596
"paris_012",13.7673566878981
"paris_016",14.0138845061534
"paris_019",13.7661290322581
"paris_018",12.9741044454035
"paris_020",14.1275399913532
"paris_011",14.2727915194346
"paris_010",13.1771019677996
"paris_003",14.2598253275109
"paris_004",14.5542949756888
"paris_002",14.8652849740933
"paris_009",14.0071258907363
"paris_001",15
"paris_006",14.8079710144928
"paris_007",14.3621896880968
"paris_008",14.3901315789474
"paris_017",13.8409090909091
"paris_015",14.0012102874433
"paris_014",14.4690792487403
"paris_013",14.9478482859227
"paris_005",14.8510638297872
"london_021",10.039318046653
"london_029",8.58044852077624
"london_028",10.5963076399524
"london_022",10.6109127529067
"london_007",12.2090301003344
"london_032",9.77946092027594
"london_033",11.8626248864668
"london_006",11.9008644886045
"london_020",11.6577669902913
"london_013",11.6240131088932
"london_024",9.7128338762215
"london_027",11.2235892178222
"london_018",11.3661393234857
"london_009",11.9338063549425
"london_004",10.9990408485669
"london_002",10.9764825025318
"london_015",10.5958506625399
"london_017",11.3245602935594
"london_010",10.6992430066828
"london_014",11.7293805895992
"london_019",12.1324905598424
"london_012",12.1388924414887
"montreal_2",7.96526436456715
"montreal_2",7.96526436456715
"montreal_1",7.46157224418094
"montreal_1",7.46157224418094
"montreal_3",7.12885538039753
"montreal_3",7.12885538039753
"montreal_4",7.92069632495164
"montreal_4",7.92069632495164
"montreal_8",8.13739776951673
"montreal_8",8.13739776951673
"montreal_9",8
"montreal_9",8
"montreal_5",8.91034755134281
"montreal_5",8.91034755134281
"montreal_6",8.9937984496124
"montreal_6",8.9937984496124
"montreal_7",7.41804457225018
"montreal_7",7.41804457225018
"montreal_15",6.83842144452718
"montreal_15",6.83842144452718
"montreal_14",5.99199466310874
"montreal_14",5.99199466310874
"montreal_13",NA
"montreal_13",NA
"montreal_12",6
"montreal_12",6
"montreal_11",6.40801378716071
"montreal_11",6.40801378716071
"montreal_16",8.60140997830803
"montreal_16",8.60140997830803
"montreal_10",7.73333333333333
"montreal_10",7.73333333333333
"vancouver_039",5
"vancouver_040",5
"vancouver_041",5
"vancouver_042",5
"vancouver_035",5
"vancouver_034",5
"vancouver_030",5
"vancouver_106",5
"vancouver_033",5
"vancouver_036",5
"vancouver_037",5
"vancouver_038",5
"vancouver_043",5
"vancouver_044",5
"vancouver_071",5
"vancouver_047",5
"vancouver_046",5
"vancouver_045",5
"vancouver_090",5
"vancouver_073",5
"vancouver_077",5
"vancouver_068",5
"vancouver_078",5
"vancouver_066",5
"vancouver_049",5
"vancouver_022",5
"vancouver_023",5
"vancouver_029",5
"vancouver_104",5
"vancouver_024",5
"vancouver_015",5
"vancouver_014",5
"vancouver_012",5
"vancouver_013",5
"vancouver_011",5
"vancouver_018",5
"vancouver_017",5
"vancouver_019",5
"vancouver_016",5
"vancouver_020",5
"vancouver_021",5
"vancouver_050",5
"vancouver_051",4.67567567567568
"vancouver_052",4.2020202020202
"vancouver_055",4
"vancouver_054",4
"vancouver_059",4.5
"vancouver_056",4
"vancouver_058",4
"vancouver_086",4.9119170984456
"vancouver_057",4.25839793281654
"vancouver_085",5
"vancouver_084",5
"vancouver_088",5
"vancouver_087",5
"vancouver_114",4.32048192771084
"vancouver_113",4.84736481861738
"vancouver_116",5
"vancouver_115",5
"vancouver_112",5
"vancouver_082",5
"vancouver_083",5
"vancouver_067",5
