"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"IRL","Ireland","OHI","N","2013","2013","Y",0.9517142,5.5,1301.469,0.01470513,0.007948531,0.006287254,0.01175365,0.334876,1082.693,0.2137818,-1,4.598294,"IRL_N2013Y",0.02821,0.04519,0.05692,0.06774,0.07826,0.08836,0.1017,0.1208,0.1524,0.2604
0,1,"ISR","Israel","OHI","N","2013","2012","Y",4.270233,5.5,1004.632,0.04389605,0.01365669,0.007019768,0.02132997,0.4136383,786.542,0.3166624,-1,8.0595,"ISR_N2012Y",0.01659,0.03084,0.0432,0.05636,0.07096,0.08649,0.1058,0.1294,0.1642,0.2962
0,1,"ITA","Italy","OHI","N","2013","2013","Y",0.8253945,5.5,1202.776,0.02983658,0.01797237,0.01434539,0.02115872,0.3491049,1022,0.2703606,-1,60.233948,"ITA_N2013Y",0.01981,0.04259,0.05562,0.06734,0.07866,0.09158,0.1059,0.125,0.1545,0.259
0,1,"JAM","Jamaica","LAC","N","2013","2004","X",63.35445,5.5,351.6595,0.3151576,0.101725,0.04576518,0.1402986,0.4545747,230.1914,0.3486235,-1,2.851807,"JAM_N2004X",0.02064,0.03216,0.04166,0.05057,0.06001,0.07224,0.09033,0.1162,0.1586,0.3576
0,1,"JPN","Japan","OHI","N","2013","2008","Y",116.1032,5.5,1288.375,0.0100181,0.004594314,0.002983297,0.008106184,0.3210668,1111.041,0.1878074,-1,127.445,"JPN_N2008Y",0.02681,0.04687,0.05909,0.06971,0.08079,0.09239,0.1052,0.122,0.1495,0.2477
0,1,"JOR","Jordan","MNA","N","2013","2010.24","X",0.446,5.5,308.5853,0.2243179,0.04926555,0.01639911,0.06120628,0.3365573,244.1788,0.1838546,-1,8.413464,"JOR_N2010X",0.03454,0.04744,0.05637,0.06469,0.07396,0.08442,0.09742,0.1171,0.1496,0.2745
0,1,"KAZ","Kazakhstan","ECA","N","2013","2013","X",83.61162,5.5,369.6996,0.05639189,0.008710533,0.002282241,0.01026367,0.2706312,318.5237,0.1183964,-1,17.035275,"KAZ_N2013X",0.04263,0.05548,0.06379,0.07223,0.08124,0.09164,0.1039,0.1197,0.1444,0.225
0,1,"KEN","Kenya","SSA","N","2013","2005.38","X",35.42959,5.5,124.1141,0.8195372,0.4601363,0.3018411,0.8095391,0.4850077,78.91151,0.4113255,-1,44.826849,"KEN_N2005X",0.01714,0.02972,0.03878,0.0477,0.05782,0.07042,0.08664,0.1106,0.1529,0.3883
0,1,"KIR","Kiribati","EAP","N","2013","2006","X",1.065704,5.5,148.8704,0.7178784,0.3071225,0.1676791,0.4696754,0.3697306,119.2769,0.2336906,-1,0.108535,"KIR_N2006X",0.02552,0.04041,0.05254,0.06312,0.07391,0.08606,0.1002,0.1188,0.147,0.2925
0,1,"KOR","Korea, Republic of","OHI","N","2013","2012","Y",912.0214,5.5,1198.466,0.01334,0.005127131,0.003019858,0.008222829,0.3155812,1042.032,0.1826647,-1,50.428893,"KOR_N2012Y",0.02614,0.04662,0.05954,0.0706,0.08148,0.09382,0.1074,0.1244,0.1522,0.2378
0,1,"KSV","Kosovo","ECA","N","2013","2013","X",0.3480566,5.5,257.8524,0.2324002,0.05128727,0.01749762,0.06432625,0.2630659,226.1125,0.1150573,-1,1.8241,"KSV_N2013X",0.04076,0.05615,0.06656,0.07531,0.0833,0.09271,0.1038,0.1189,0.143,0.2195
0,1,"KGZ","Kyrgyz Republic","ECA","N","2013","2013","X",17.53792,5.5,153.5452,0.6945801,0.243085,0.1086612,0.3308615,0.2881548,129.4964,0.1351486,-1,5.7196,"KGZ_N2013X",0.03984,0.05315,0.06224,0.07077,0.07958,0.0898,0.1025,0.1188,0.1449,0.2385
0,1,"LAO","Lao People's Democratic Republic","EAP","N","2013","2012.25","X",3325.204,5.5,118.7147,0.8364293,0.4087145,0.2341376,0.6318181,0.3638628,91.01804,0.2174978,-1,6.494557,"LAO_N2012X",0.03157,0.04402,0.05319,0.06224,0.07152,0.08196,0.09501,0.1145,0.1484,0.2976
0,1,"LVA","Latvia","ECA","N","2013","2013","Y",0.4031804,5.5,600.0973,0.05985743,0.02399966,0.0139608,0.04635086,0.3549944,480.8576,0.2371976,-1,2.012647,"LVA_N2013Y",0.02268,0.04234,0.05581,0.06606,0.07504,0.08693,0.102,0.1236,0.1577,0.2678
