IDWHOCity,Region,iso3,Country,City_Town,PM10AnnualMean_Ug_m3,Year,NumberAndTypeOfMonitoringStations_PM10_,noteOnConvertedPM10,PM2_5AnnualMean_Ug_m3,Year_1,NumberAndTypeOfMonitoringStations_PM2_5_,noteOnConvertedPM2_5,TemporalCoverage,forAirQuality,isInterpolated,useMicroData,CountryCode,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr_mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
25,Wpr HI,AUS,Australia,"Lower Hunter",17,2014,"-",converted from PM2.5,7,2014,"3 stations, high school",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
26,Wpr HI,AUS,Australia,"Mackay",17,2014,"1 station, residential rural",measured data,7,2014,"-",converted from PM10,"PM10: >75%; PM2.5:NA","http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
27,Wpr HI,AUS,Australia,"Melbourne",19,2014,"10 stations, Residential/Light Industry",measured data,8,2014,"2 stations, Residential/Light Industry",measured data,"PM10: >75%; PM2.5:NA","http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
28,Wpr HI,AUS,Australia,"Moranbah",21,2014,"1 station, industrial/residential",measured data,9,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
29,Wpr HI,AUS,Australia,"Mount Isa",16,2014,"1 station, industrial/residential",measured data,7,2014,"-",converted from PM10,"PM10: >75%; PM2.5:NA","http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
30,Wpr HI,AUS,Australia,"Muswellbrook",21,2014,"1 station, Residential (outer urban)",measured data,9,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
31,Wpr HI,AUS,Australia,"Newcastle",19,2014,"3 stations, Residential (outer urban)",measured data,8,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
32,Wpr HI,AUS,Australia,"Palmerston",22,2014,"-",converted from PM2.5,9,2014,"1 station, industrial/residential",measured data,"PM10: NA; PM2.5:>75%","http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
33,Wpr HI,AUS,Australia,"Perth",17,2014,"3 stations, Residential (outer urban)",measured data,8,2014,"4 stations, Residential (outer urban)",measured data,"PM10: NA; PM2.5:NA","http://www.der.wa.gov.au/your-environment/air",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
34,Wpr HI,AUS,Australia,"Singleton",21,2014,"1 station, Rural (small town)",measured data,9,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
