ID WHO city,Region,iso3,Country,City/Town,"PM10 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"PM2.5 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality
45,Eur HI,AUT,Austria,BAD VöSLAU,18,2013,"1 station, background, suburban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
46,Eur HI,AUT,Austria,BIEDERMANNSDORF,20,2013,"1 station, traffic, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
47,Eur HI,AUT,Austria,BLUDENZ,18,2013,"1 station, background, suburban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
48,Eur HI,AUT,Austria,BRUCK AN DER MUR,24,2013,"1 station, background, suburban",measured data,18,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
49,Eur HI,AUT,Austria,DEUTSCHLANDSBERG,22,2013,"1 station, background, suburban",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
50,Eur HI,AUT,Austria,DORNBIRN,19,2013,"1 station, background, urban",measured data,14,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
51,Eur HI,AUT,Austria,EBENTHAL,20,2013,"1 station, background, rural",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
52,Eur HI,AUT,Austria,EISENSTADT,24,2013,"1 station, background, suburban",measured data,19,2013,"1 station, background, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
53,Eur HI,AUT,Austria,FELDKIRCH,23,2013,"1 station, traffic, urban",measured data,17,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
54,Eur HI,AUT,Austria,FüRSTENFELD,26,2013,"1 station, background, suburban",measured data,19,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
55,Eur HI,AUT,Austria,Gänserndorf,21,2013,"1 station, background, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
