"nbhd_code","ndbi_2015"
"istanbul_011",-0.270988164178099
"istanbul_036",-0.0750980988308236
"istanbul_031",-0.280772370262585
"telaviv_045",-0.0332407678032685
"telaviv_047",-0.0736721718395479
"telaviv_046",-0.0525499593933045
"telaviv_049",-0.0788367477283313
"telaviv_048",-0.0578783915345473
"telaviv_050",-0.0521676144330358
"telaviv_051",-0.026080542571373
"telaviv_014",-0.104875873920879
"telaviv_015",-0.10769201369327
"telaviv_007",-0.106432528615792
"telaviv_008",-0.109028181487482
"telaviv_002",-0.0217615135896553
"telaviv_001",-0.0337947403853196
"telaviv_004",-0.0532181310751294
"telaviv_009",-0.143984598610976
