"nbhd_code","Prec_all"
"barcelona_59",1.69780731035859
"barcelona_60",1.71726512908936
"barcelona_44",1.71726512908936
"barcelona_45",1.71726512908936
"barcelona_52",1.71726512908936
"barcelona_53",1.73701903766653
"barcelona_58",1.70854014502946
"barcelona_54",1.75053205447233
"barcelona_50",1.7249003227832
"barcelona_55",1.75332307815552
"barcelona_49",1.71793976834877
"barcelona_48",1.71726512908936
"barcelona_51",1.71726512908936
"barcelona_46",1.71726512908936
"barcelona_47",1.71726512908936
"barcelona_42",1.71828134489195
"istanbul_032",2.30592690254266
"istanbul_015",2.39240616621166
"istanbul_014",2.47145956855464
"istanbul_002",2.76565197624363
"istanbul_018",2.53099913788089
"istanbul_008",2.7276708283599
"istanbul_012",2.52812442625466
"istanbul_001",2.74913626052104
"istanbul_004",2.54403577485817
"istanbul_026",2.60563905911442
"istanbul_007",2.62392392501162
"istanbul_006",2.74383800488095
"istanbul_005",2.77580027761268
"istanbul_022",2.87523198127747
"istanbul_017",2.94142947470851
"istanbul_019",3.26291615367065
"istanbul_035",3.11615509637046
"istanbul_009",3.01280155598459
"istanbul_021",3.19125021812748
"istanbul_024",3.57056549096998
"istanbul_020",3.0751662478305
"istanbul_013",3.25219010725581
"istanbul_033",3.88657763908998
"istanbul_030",3.77838795847272
"istanbul_010",3.5426736833472
"istanbul_038",3.29479852775792
"istanbul_023",3.02317476175898
"istanbul_039",2.88606355716857
"istanbul_025",2.68020264276428
"istanbul_028",2.81612548284616
"istanbul_027",2.80412151611157
"istanbul_034",2.78333432178098
"istanbul_029",2.86658346923932
"istanbul_003",3.01102521191278
"istanbul_037",3.14013780308849
"istanbul_016",2.91249309369303
"istanbul_011",3.13301510919307
"istanbul_036",2.79040019848206
"istanbul_031",3.07043297195327
"telaviv_045",1.2661055992813
"telaviv_047",1.2910243969143
"telaviv_046",1.35827044999955
"telaviv_049",1.35834932327271
"telaviv_048",1.35811044829268
"telaviv_050",1.35834932327271
"telaviv_051",1.35834932327271
"telaviv_014",1.32126545906067
"telaviv_015",1.32126545906067
"telaviv_007",1.32306098556843
"telaviv_008",1.32126545906067
"telaviv_002",1.32646489143372
"telaviv_001",1.32603395052208
"telaviv_004",1.32646489143372
"telaviv_009",1.32560583740941
"telaviv_003",1.32646489143372
"telaviv_005",1.32646489143372
"telaviv_010",1.32588209218036
"telaviv_011",1.32212428200766
"telaviv_012",1.32126545906067
"telaviv_013",1.33932930102452
"telaviv_016",1.32126545906067
"telaviv_018",1.32126545906067
"telaviv_019",1.32126545906067
"telaviv_026",1.32126545906067
"telaviv_027",1.32126545906067
"telaviv_028",1.32126545906067
"telaviv_025",1.32126545906067
"telaviv_017",1.32126545906067
"telaviv_022",1.32126545906067
"telaviv_020",1.32126545906067
"telaviv_021",1.32126545906067
"telaviv_023",1.32126545906067
"telaviv_024",1.32126545906067
"telaviv_070",1.37612018091933
"telaviv_060",1.3768367767334
"telaviv_069",1.37150002729654
"telaviv_059",1.37297445774485
