nbhd_code,Cities_urbanLST_count
istanbul_011,386
istanbul_036,143
istanbul_031,869
telaviv_045,0
telaviv_047,0
telaviv_046,0
telaviv_049,0
telaviv_048,1
telaviv_050,1
telaviv_051,0
telaviv_014,0
telaviv_015,1
telaviv_007,2
telaviv_008,1
telaviv_002,0
telaviv_001,1
telaviv_004,1
telaviv_009,1
telaviv_003,0
telaviv_005,1
telaviv_010,1
telaviv_011,2
telaviv_012,0
telaviv_013,4
telaviv_016,1
telaviv_018,0
telaviv_019,1
telaviv_026,0
telaviv_027,1
telaviv_028,1
telaviv_025,0
telaviv_017,1
telaviv_022,0
telaviv_020,1
telaviv_021,1
telaviv_023,1
telaviv_024,1
telaviv_070,0
telaviv_060,0
telaviv_069,0
telaviv_059,0
telaviv_061,1
telaviv_062,2
telaviv_058,1
telaviv_068,0
telaviv_067,1
telaviv_063,1
telaviv_065,0
telaviv_064,1
telaviv_066,1
telaviv_071,0
telaviv_054,0
telaviv_056,1
telaviv_043,0
telaviv_053,1
telaviv_037,2
telaviv_041,1
telaviv_040,1
telaviv_031,1
telaviv_035,1
telaviv_030,2
telaviv_034,0
telaviv_036,1
telaviv_057,1
telaviv_032,1
telaviv_006,1
telaviv_033,1
telaviv_029,0
telaviv_038,0
telaviv_039,0
telaviv_042,1
telaviv_052,1
telaviv_055,1
telaviv_044,0
Johannesburg_1,7
Johannesburg_2,6
Johannesburg_3,6
Johannesburg_6,43
Johannesburg_23,60
Johannesburg_125,37
Johannesburg_122,71
Johannesburg_119,20
Johannesburg_24,14
Johannesburg_18,7
Johannesburg_54,23
Johannesburg_55,6
Johannesburg_124,22
Johannesburg_68,20
Johannesburg_58,9
Johannesburg_29,5
Johannesburg_27,2
Johannesburg_26,2
Johannesburg_28,3
Johannesburg_25,5
Johannesburg_30,3
Johannesburg_31,2
Johannesburg_70,38
Johannesburg_39,5
Johannesburg_40,1
Johannesburg_82,7
Johannesburg_86,12
Johannesburg_88,17
Johannesburg_89,10
Johannesburg_85,18
Johannesburg_126,13
Johannesburg_98,13
Johannesburg_99,10
Johannesburg_117,12
Johannesburg_102,19
Johannesburg_90,14
Johannesburg_87,12
Johannesburg_69,9
Johannesburg_60,6
Johannesburg_67,5
Johannesburg_59,0
Johannesburg_123,2
Johannesburg_63,1
Johannesburg_62,0
Johannesburg_64,1
Johannesburg_66,12
Johannesburg_73,10
Johannesburg_74,16
Johannesburg_91,10
Johannesburg_103,24
Johannesburg_108,2
Johannesburg_107,0
Johannesburg_81,14
Johannesburg_75,1
Johannesburg_76,1
Johannesburg_116,1
Johannesburg_105,3
Johannesburg_72,13
Johannesburg_118,11
Johannesburg_65,4
Johannesburg_57,34
Johannesburg_61,4
Johannesburg_56,9
Johannesburg_32,62
Johannesburg_77,4
Johannesburg_78,2
Johannesburg_111,4
Johannesburg_79,2
Johannesburg_110,39
Johannesburg_80,2
Johannesburg_93,35
Johannesburg_112,59
Johannesburg_92,42
Johannesburg_94,37
Johannesburg_113,18
Johannesburg_96,111
Johannesburg_106,30
Johannesburg_109,12
Johannesburg_115,18
Johannesburg_104,20
Johannesburg_101,15
Johannesburg_97,50
Johannesburg_114,19
Johannesburg_100,21
Johannesburg_95,3
Johannesburg_71,12
Johannesburg_83,14
Johannesburg_127,19
Johannesburg_84,14
Johannesburg_41,2
Johannesburg_43,3
Johannesburg_42,2
Johannesburg_38,4
Johannesburg_45,2
Johannesburg_36,2
Johannesburg_47,4
Johannesburg_44,6
Johannesburg_49,14
Johannesburg_129,6
Johannesburg_48,3
Johannesburg_46,3
Johannesburg_34,4
Johannesburg_51,3
Johannesburg_52,2
Johannesburg_128,6
Johannesburg_53,79
Johannesburg_50,5
Johannesburg_130,2
Johannesburg_20,3
Johannesburg_14,6
Johannesburg_13,7
Johannesburg_10,13
Johannesburg_9,16
Johannesburg_8,23
Johannesburg_11,8
Johannesburg_12,2
Johannesburg_19,4
Johannesburg_16,2
Johannesburg_15,2
Johannesburg_21,3
Johannesburg_33,4
Johannesburg_35,2
Johannesburg_37,3
Johannesburg_22,4
Johannesburg_17,4
Johannesburg_120,24
Johannesburg_121,54
Johannesburg_7,10
Johannesburg_4,7
Johannesburg_5,50
jakarta_005,42
jakarta_001,41
jakarta_021,9
jakarta_018,17
jakarta_008,22
jakarta_023,22
jakarta_006,27
jakarta_011,22
jakarta_031,15
jakarta_007,15
jakarta_022,12
jakarta_030,22
jakarta_004,19
jakarta_016,18
jakarta_033,11
jakarta_020,25
jakarta_017,19
jakarta_015,13
jakarta_040,9
jakarta_037,11
jakarta_024,8
jakarta_029,9
jakarta_012,10
jakarta_042,9
jakarta_026,8
jakarta_009,6
jakarta_036,3
jakarta_013,3
jakarta_002,5
jakarta_025,5
jakarta_034,17
jakarta_019,7
jakarta_041,20
jakarta_027,16
jakarta_035,5
jakarta_038,6
jakarta_039,4
jakarta_010,11
jakarta_032,36
jakarta_003,25
jakarta_028,8
