nbhd_code,DEM_all
jakarta_011,56.00561962
jakarta_031,49.2136732
jakarta_007,54.41065877
jakarta_022,31.14605474
jakarta_030,36.83788059
jakarta_004,38.84448745
jakarta_016,25.64790838
jakarta_033,24.84980559
jakarta_020,11.47168326
jakarta_017,11.18555946
jakarta_015,23.27393408
jakarta_040,14.5692376
jakarta_037,19.41684111
jakarta_024,23.41159683
jakarta_029,26.6122301
jakarta_012,18.89933201
jakarta_042,19.98686733
jakarta_026,13.06200232
jakarta_009,9.081934932
jakarta_036,11.88709296
jakarta_013,9.198710525
jakarta_002,9.248863694
jakarta_025,13.68600171
jakarta_034,11.95210731
jakarta_019,7.089367218
jakarta_041,5.995698996
jakarta_027,4.227437032
jakarta_035,9.034034647
jakarta_038,7.887243847
jakarta_039,6.447668518
jakarta_010,6.959189446
jakarta_032,4.390350662
jakarta_003,5.929877492
jakarta_028,11.97189457
jakarta_014,5.845387731
bangkok_017,7.425409216
bangkok_039,7.069455812
bangkok_004,8.116235227
bangkok_024,8.381231111
bangkok_044,7.748107527
bangkok_045,6.478861142
bangkok_029,6.456374894
bangkok_003,7.201575973
bangkok_031,8.350479349
bangkok_015,8.127212904
bangkok_001,6.34740351
bangkok_012,9.116377687
bangkok_046,9.128314545
bangkok_037,7.795672288
bangkok_005,8.190083359
bangkok_022,9.829119996
bangkok_050,8.72630758
bangkok_042,12.3104908
bangkok_009,17.31380798
bangkok_030,15.0007101
bangkok_040,12.39102148
bangkok_034,10.92049719
bangkok_011,9.22790901
bangkok_035,13.80990749
bangkok_038,11.81842018
bangkok_018,9.453178564
bangkok_032,10.88678073
bangkok_008,8.382874338
bangkok_010,8.767635219
bangkok_014,8.904109922
bangkok_016,9.601607539
bangkok_019,8.054057095
bangkok_026,7.338471621
bangkok_002,7.200422942
bangkok_049,7.70158797
bangkok_043,6.825079746
bangkok_048,12.1793021
bangkok_023,10.19863565
bangkok_033,7.480309711
bangkok_007,7.816974587
bangkok_047,5.688546589
bangkok_006,4.682686363
hochiminh_001,3.696997272
hochiminh_007,5.291081857
hochiminh_004,10.66046001
bangkok_036,5.539566887
bangkok_025,4.864259733
bangkok_041,5.299459583
bangkok_013,6.708019719
bangkok_020,6.907242977
bangkok_021,6.211651581
bangkok_027,5.605520689
bangkok_028,5.505107341
hochiminh_012,5.943776578
hochiminh_024,10.67056518
hochiminh_021,6.413992917
hochiminh_005,5.77220978
hochiminh_014,3.678730317
hochiminh_019,3.976371454
hochiminh_008,4.280416924
hochiminh_002,5.841417436
hochiminh_006,9.017183993
