nbhd_code,ndbi_all
bangalore_165,-0.054966242
bangalore_166,-0.053456512
bangalore_183,-0.013708161
bangalore_139,-0.01447124
bangalore_002,-0.116869674
bangalore_047,-0.003255855
bangalore_110,-0.095074359
bangalore_116,-0.068213612
bangalore_176,-0.053657626
bangalore_119,-0.040568241
bangalore_058,-0.006258603
bangalore_081,-0.047842174
bangalore_071,0.006500888
bangalore_024,-0.025026502
bangalore_018,-0.049383979
bangalore_022,-0.121349935
bangalore_006,-0.082010614
bangalore_025,-0.048597112
bangalore_088,-0.027249252
bangalore_078,-0.038138879
bangalore_143,-0.074788345
bangalore_162,-0.077253142
bangalore_160,-0.050828131
bangalore_147,-0.077878757
bangalore_084,-0.072126203
bangalore_108,-0.038597403
bangalore_056,-0.013524696
bangalore_005,-0.01982742
bangalore_186,-0.032736106
bangalore_197,0.006924336
bangalore_112,-0.03571959
bangalore_013,-0.016524935
bangalore_100,-0.039656963
bangalore_050,-0.040405217
bangalore_142,-0.021572871
bangalore_195,-0.042440049
bangalore_015,-0.022418654
bangalore_187,-0.035229154
bangalore_178,-0.028973623
bangalore_063,-0.052524689
bangalore_087,-0.053352466
bangalore_192,-0.066253532
bangalore_027,-0.047528334
bangalore_070,-0.022285898
bangalore_170,-0.020557554
bangalore_177,0.01889849
bangalore_158,-0.07896276
bangalore_041,0.02040601
bangalore_092,0.016003463
bangalore_030,-0.018931302
bangalore_029,-0.001957504
bangalore_023,0.04379114
bangalore_035,5.47E-05
bangalore_174,-0.044343484
bangalore_140,-0.027165556
bangalore_031,0.053539674
bangalore_049,-0.033232473
bangalore_185,-0.067088967
bangalore_037,0.018598258
bangalore_054,0.003773277
bangalore_036,0.002033654
bangalore_095,-0.046574521
bangalore_122,-0.076894081
bangalore_007,-0.107962581
bangalore_151,-0.049095077
bangalore_086,-0.079239388
bangalore_052,-0.086727078
bangalore_085,-0.000338
bangalore_039,-0.033069292
bangalore_154,-0.038436644
bangalore_156,-0.049254825
bangalore_146,-0.044014891
bangalore_168,0.03542655
bangalore_021,0.016983782
bangalore_061,-0.128457078
bangalore_075,-0.043621136
bangalore_161,-0.037093367
bangalore_091,0.004429609
bangalore_129,-0.054571836
bangalore_099,0.001364666
bangalore_094,-0.02461861
bangalore_118,-0.002233559
bangalore_064,-0.023092308
bangalore_097,0.03394911
bangalore_157,-0.015016458
bangalore_113,0.038482633
bangalore_132,0.039560795
bangalore_102,-0.022214558
bangalore_135,0.012884475
bangalore_193,-0.030431494
bangalore_180,-0.036447953
bangalore_026,-0.085866937
bangalore_107,-0.105703893
bangalore_051,-0.035948178
bangalore_065,-0.030131767
bangalore_124,0.00989474
bangalore_159,-0.059085345
bangalore_148,-0.070512638
bangalore_130,-0.035216875
bangalore_043,-0.104661187
bangalore_188,-0.052795371
bangalore_196,-0.059477842
bangalore_082,-0.024830392
bangalore_105,-0.108166458
bangalore_034,-0.096813006
bangalore_009,-0.042195761
bangalore_114,-0.07139674
bangalore_083,-0.073519896
bangalore_167,-0.027337558
bangalore_121,0.021749357
bangalore_011,-0.013291615
bangalore_067,-0.040171953
bangalore_106,-0.037537932
bangalore_042,-0.001163905
bangalore_181,-0.009526664
bangalore_068,-0.007242357
bangalore_090,-0.035766621
bangalore_111,-0.005287872
bangalore_066,0.042480521
bangalore_149,0.006594132
bangalore_144,-0.03288722
bangalore_033,-0.041273431
bangalore_179,-0.001347747
bangalore_115,-0.033211945
bangalore_117,-0.025844796
bangalore_136,-0.043863525
bangalore_120,-0.024487946
bangalore_125,-0.01592325
bangalore_069,-0.053031742
bangalore_079,-0.054214404
bangalore_198,0.024103111
bangalore_133,-0.053054429
bangalore_175,-0.012707766
bangalore_145,-0.029926493
bangalore_173,-0.039410056
bangalore_150,-0.036918348
bangalore_169,-0.029937306
bangalore_017,-0.017649607
bangalore_004,-0.002764558
bangalore_163,-0.01318965
bangalore_164,-0.016185778
bangalore_194,-0.014630934
bangalore_103,-0.021370794
bangalore_098,-0.031806349
bangalore_057,-0.031194238
bangalore_127,-0.044087084
bangalore_131,-0.005281058
bangalore_128,-0.018274379
bangalore_134,-0.057751958
bangalore_008,-0.027719707
bangalore_189,-0.012154186
bangalore_073,-0.01705403
bangalore_062,-0.031710554
bangalore_141,0.027679472
bangalore_155,0.00034
bangalore_046,-0.019561808
bangalore_104,0.021654367
bangalore_080,-0.012894726
bangalore_010,0.005185531
bangalore_014,0.011841842
bangalore_048,-0.019142104
bangalore_172,-0.02422639
bangalore_038,-0.013690358
bangalore_055,-0.039068299
bangalore_101,-0.03339913
bangalore_032,-0.016003975
bangalore_074,-0.032951807
bangalore_152,-0.052428897
bangalore_182,-0.031050399
bangalore_137,-0.045661786
copenhagen_007,-0.156153228
copenhagen_006,-0.108970911
copenhagen_005,-0.142100335
copenhagen_008,-0.107872333
copenhagen_003,-0.052143654
copenhagen_002,-0.087070846
copenhagen_001,-0.06601727
copenhagen_009,-0.078853231
copenhagen_004,-0.078379953
copenhagen_010,-0.120689189
berlin_012,-0.255251966
berlin_004,-0.239772065
berlin_011,-0.194702245
berlin_006,-0.208306494
berlin_010,-0.216876355
berlin_003,-0.218877427
berlin_007,-0.245180738
berlin_002,-0.170325476
berlin_005,-0.174688007
berlin_001,-0.205571568
berlin_008,-0.219062433
berlin_009,-0.179244683
amsterdam_041,-0.147565162
amsterdam_039,-0.132995372
amsterdam_045,-0.205828896
amsterdam_046,-0.128809883
amsterdam_044,-0.149886947
amsterdam_061,-0.220411801
amsterdam_047,-0.156449627
amsterdam_055,-0.113863601
amsterdam_051,-0.1025371
amsterdam_052,-0.110724583
amsterdam_053,-0.175725672
amsterdam_021,-0.092414879
amsterdam_054,-0.12686191
amsterdam_022,-0.111110392
amsterdam_019,-0.106503367
amsterdam_020,-0.105735807
amsterdam_018,-0.094282295
amsterdam_031,-0.107390664
amsterdam_030,-0.093869179
amsterdam_029,-0.075707083
amsterdam_043,-0.164381268
