nbhd_code,Albedo_all
manila_009,0.06402563
manila_004,0.082426227
manila_006,0.092541943
manila_015,0.109278858
manila_007,0.118170047
manila_012,0.118200528
manila_005,0.109962629
manila_016,0.123378115
manila_003,0.114648469
manila_013,0.118840149
manila_011,0.11273498
manila_010,0.121678868
manila_002,0.125288042
manila_008,0.123830573
seoul_005,0.106358822
seoul_008,0.124688116
seoul_009,0.131772636
seoul_010,0.14335364
seoul_014,0.11132046
seoul_025,0.109161522
seoul_013,0.112234494
seoul_012,0.114674742
seoul_023,0.118056165
seoul_011,0.12567228
seoul_007,0.119616534
seoul_006,0.10368302
seoul_004,0.112612964
seoul_003,0.108533852
seoul_024,0.112290343
seoul_018,0.113478074
seoul_022,0.117883274
seoul_020,0.120976951
seoul_002,0.121354182
seoul_021,0.112172455
seoul_001,0.116188497
seoul_015,0.118038597
seoul_016,0.114630946
seoul_019,0.121583849
seoul_017,0.110643482
beijing_005,0.119355891
beijing_009,0.101724287
beijing_003,0.157327934
beijing_006,0.137611657
beijing_012,0.11956667
beijing_007,0.12861435
beijing_004,0.109076273
beijing_015,0.110882201
beijing_002,0.136794934
beijing_001,0.122703039
beijing_016,0.118661206
beijing_008,0.113044946
beijing_013,0.156880349
beijing_014,0.150847198
beijing_010,0.117787318
beijing_011,0.129521491
delhi_001,0.143693136
delhi_009,0.132782718
delhi_005,0.121584399
delhi_008,0.147557075
delhi_006,0.123113611
delhi_004,0.129289951
delhi_003,0.130612417
delhi_002,0.127073258
delhi_007,0.135484832
bangalore_184,0.1489126
bangalore_059,0.146884645
bangalore_096,0.149521643
bangalore_077,0.153758991
bangalore_016,0.149128627
bangalore_093,0.150514769
bangalore_153,0.15760636
bangalore_072,0.157254509
bangalore_012,0.144002184
bangalore_040,0.142150858
bangalore_053,0.147868067
bangalore_190,0.151796135
bangalore_001,0.146158882
bangalore_191,0.144751398
bangalore_020,0.136966284
bangalore_028,0.144685786
bangalore_138,0.137077049
bangalore_060,0.147875603
bangalore_044,0.151310998
bangalore_126,0.155640065
bangalore_019,0.147789921
bangalore_171,0.155477446
bangalore_123,0.153725447
bangalore_076,0.142220139
bangalore_003,0.140115728
bangalore_109,0.148221679
bangalore_089,0.139514119
bangalore_045,0.140118095
bangalore_165,0.128982512
bangalore_166,0.133715816
bangalore_183,0.140539203
bangalore_139,0.140271811
bangalore_002,0.137714613
bangalore_047,0.143960796
bangalore_110,0.138917434
bangalore_116,0.134111841
bangalore_176,0.132552925
bangalore_119,0.139089624
bangalore_058,0.138970492
bangalore_081,0.143566899
bangalore_071,0.159298237
bangalore_024,0.149082571
bangalore_018,0.151282138
bangalore_022,0.149259921
bangalore_006,0.152186301
bangalore_025,0.135720298
bangalore_088,0.136453367
bangalore_078,0.138267967
bangalore_143,0.129157126
bangalore_162,0.133705918
bangalore_160,0.141288663
bangalore_147,0.146366778
bangalore_084,0.147464792
bangalore_108,0.15239376
bangalore_056,0.150654981
bangalore_005,0.148882978
bangalore_186,0.149479121
bangalore_197,0.149562817
bangalore_112,0.144894865
bangalore_013,0.13902788
bangalore_100,0.129290115
bangalore_050,0.134291717
bangalore_142,0.143027824
bangalore_195,0.128156408
bangalore_015,0.130786536
bangalore_187,0.134822592
bangalore_178,0.126139667
bangalore_063,0.128529709
bangalore_087,0.129045922
bangalore_192,0.125053729
bangalore_027,0.126877446
bangalore_070,0.132077232
bangalore_170,0.130642857
bangalore_177,0.12772594
bangalore_158,0.12624859
bangalore_041,0.127008218
bangalore_092,0.129908069
bangalore_030,0.129940286
bangalore_029,0.129790279
bangalore_023,0.128517231
bangalore_035,0.127468822
bangalore_174,0.126358342
bangalore_140,0.125390093
bangalore_031,0.129731199
bangalore_049,0.128999784
bangalore_185,0.126960993
bangalore_037,0.129551707
bangalore_054,0.130834598
bangalore_036,0.129445432
bangalore_095,0.129006854
bangalore_122,0.129827151
bangalore_007,0.130994342
bangalore_151,0.137655123
bangalore_086,0.132866697
bangalore_052,0.135527238
bangalore_085,0.140460636
bangalore_039,0.143064517
bangalore_154,0.139914798
bangalore_156,0.140154268
bangalore_146,0.132764976
bangalore_168,0.128925758
bangalore_021,0.129064052
bangalore_061,0.124733465
bangalore_075,0.132558907
bangalore_161,0.134550903
bangalore_091,0.132014133
bangalore_129,0.138085639
bangalore_099,0.142408153
bangalore_094,0.144883798
bangalore_118,0.143549981
bangalore_064,0.153441392
bangalore_097,0.146653005
bangalore_157,0.140244771
bangalore_113,0.146483304
bangalore_132,0.147616043
bangalore_102,0.146780138
bangalore_135,0.153365532
bangalore_193,0.152266096
bangalore_180,0.160424175
bangalore_026,0.147140677
bangalore_107,0.144610828
bangalore_051,0.138582321
bangalore_065,0.141468942
bangalore_124,0.140956245
bangalore_159,0.140017136
bangalore_148,0.138994545
bangalore_130,0.137511085
bangalore_043,0.140866964
bangalore_188,0.151296543
bangalore_196,0.145696281
bangalore_082,0.157373929
bangalore_105,0.145964721
bangalore_034,0.142291615
bangalore_009,0.151269843
bangalore_114,0.141662927
bangalore_083,0.134205766
bangalore_167,0.15111261
bangalore_121,0.14703469
bangalore_011,0.151699648
bangalore_067,0.144747278
bangalore_106,0.145141022
bangalore_042,0.15024158
bangalore_181,0.152121325
bangalore_068,0.151616422
bangalore_090,0.144087151
bangalore_111,0.144942047
bangalore_066,0.154605154
bangalore_149,0.150142268
bangalore_144,0.141000572
bangalore_033,0.142741677
bangalore_179,0.142540279
bangalore_115,0.148703207
bangalore_117,0.137945856
bangalore_136,0.141115662
bangalore_120,0.138545455
bangalore_125,0.135240701
bangalore_069,0.135288215
bangalore_079,0.135242707
bangalore_198,0.137305281
bangalore_133,0.134153531
bangalore_175,0.132093126
bangalore_145,0.130459401
bangalore_173,0.128592346
bangalore_150,0.132061985
bangalore_169,0.131673305
bangalore_017,0.134419668
bangalore_004,0.134838444
bangalore_163,0.13722477
bangalore_164,0.141702283
bangalore_194,0.139412483
bangalore_103,0.141435032
bangalore_098,0.139146938
bangalore_057,0.138636653
bangalore_127,0.137594809
bangalore_131,0.141809379
bangalore_128,0.135961692
bangalore_134,0.13681859
bangalore_008,0.138446114
bangalore_189,0.130212952
bangalore_073,0.131917941
bangalore_062,0.133500402
bangalore_141,0.131968556
bangalore_155,0.133358879
bangalore_046,0.129141179
bangalore_104,0.127991304
bangalore_080,0.130876864
bangalore_010,0.130191704
bangalore_014,0.131947942
bangalore_048,0.136804295
bangalore_172,0.13234093
bangalore_038,0.142125853
bangalore_055,0.139454046
bangalore_101,0.137250978
bangalore_032,0.146656915
bangalore_074,0.147417298
bangalore_152,0.14629286
bangalore_182,0.149615423
bangalore_137,0.141471203
copenhagen_007,0.145590861
copenhagen_006,0.137480006
copenhagen_005,0.139457347
copenhagen_008,0.138160242
copenhagen_003,0.122970673
copenhagen_002,0.101811622
copenhagen_001,0.106279497
copenhagen_009,0.123793211
copenhagen_004,0.1319187
copenhagen_010,0.149017472
berlin_012,0.115970463
berlin_004,0.137168377
berlin_011,0.13096428
berlin_006,0.131979292
berlin_010,0.112343221
berlin_003,0.142805933
berlin_007,0.148336868
berlin_002,0.120325075
berlin_005,0.117032831
berlin_001,0.11089044
berlin_008,0.126583344
berlin_009,0.120803455
amsterdam_041,0.119699169
amsterdam_039,0.117032487
amsterdam_045,0.110094719
amsterdam_046,0.111363052
amsterdam_044,0.105365577
amsterdam_061,0.107688258
amsterdam_047,0.106985814
amsterdam_055,0.10067368
amsterdam_051,0.101016647
amsterdam_052,0.101588161
amsterdam_053,0.098398084
amsterdam_021,0.09813376
amsterdam_054,0.093945602
amsterdam_022,0.089872394
amsterdam_019,0.088403447
amsterdam_020,0.087594319
amsterdam_018,0.088984237
amsterdam_031,0.093273316
amsterdam_030,0.099394405
amsterdam_029,0.096615385
amsterdam_043,0.101971181
amsterdam_042,0.10161533
amsterdam_038,0.115374604
amsterdam_034,0.111882027
amsterdam_026,0.103604589
amsterdam_033,0.115027148
amsterdam_032,0.131729187
amsterdam_024,0.105005311
amsterdam_023,0.11450293
amsterdam_025,0.097107143
amsterdam_028,0.096931515
amsterdam_027,0.093939048
amsterdam_015,0.102675691
amsterdam_017,0.085396536
amsterdam_016,0.092877438
amsterdam_014,0.1026146
amsterdam_013,0.094348949
amsterdam_012,0.088390775
amsterdam_011,0.130718294
amsterdam_089,0.103916925
amsterdam_083,0.123551521
amsterdam_084,0.123610281
amsterdam_036,0.14280587
amsterdam_037,0.139293711
amsterdam_035,0.125194272
amsterdam_040,0.11974291
amsterdam_085,0.141842457
amsterdam_006,0.087443241
amsterdam_088,0.136939714
amsterdam_078,0.117522497
amsterdam_079,0.112896328
amsterdam_090,0.108740143
amsterdam_082,0.115246212
amsterdam_081,0.120697836
amsterdam_092,0.136714892
amsterdam_087,0.135136814
amsterdam_091,0.170020336
amsterdam_086,0.133923784
amsterdam_080,0.119801638
amsterdam_069,0.092869781
amsterdam_010,0.091669432
amsterdam_009,0.092264146
amsterdam_065,0.105961448
amsterdam_067,0.105889785
amsterdam_068,0.105426513
amsterdam_070,0.111030295
amsterdam_075,0.115992139
amsterdam_076,0.116709514
amsterdam_074,0.112213153
amsterdam_066,0.101126709
amsterdam_064,0.096366236
amsterdam_077,0.122193722
amsterdam_059,0.104108406
amsterdam_058,0.094625
amsterdam_063,0.090833444
amsterdam_050,0.094720791
amsterdam_049,0.093453629
amsterdam_057,0.101481475
amsterdam_048,0.08891448
amsterdam_008,0.087874288
amsterdam_004,0.085026061
amsterdam_005,0.081130532
amsterdam_002,0.079719745
amsterdam_001,0.080186588
amsterdam_003,0.082418299
amsterdam_007,0.086459571
amsterdam_056,0.099555471
amsterdam_060,0.105953252
amsterdam_062,0.12104088
amsterdam_093,0.132543812
amsterdam_097,0.128784334
amsterdam_094,0.12353754
amsterdam_095,0.128177051
amsterdam_099,0.138092638
amsterdam_096,0.126044972
amsterdam_098,0.135907378
amsterdam_073,0.11649303
amsterdam_072,0.101398264
amsterdam_071,0.112568121
london_031,0.111842551
london_026,0.127878916
london_016,0.137915124
london_001,0.123661645
london_025,0.10857418
london_030,0.096665384
london_011,0.115595182
london_023,0.112120825
london_003,0.122421653
london_005,0.13404507
london_008,0.124405954
paris_012,0.11951181
paris_016,0.115868552
paris_019,0.107536454
paris_018,0.102083314
paris_020,0.111685697
paris_011,0.102361692
paris_010,0.095185898
paris_003,0.089062461
paris_004,0.086325717
paris_002,0.0876992
paris_009,0.08919943
paris_001,0.094489756
paris_006,0.096923087
paris_007,0.105713358
paris_008,0.095521587
paris_017,0.100982046
paris_015,0.109196548
paris_014,0.109384947
paris_013,0.107073139
paris_005,0.100817858
london_021,0.124453261
london_029,0.122346322
london_028,0.103893841
london_022,0.105746109
london_007,0.080002616
london_032,0.107859486
london_033,0.102086783
london_006,0.107070538
london_020,0.103090015
london_013,0.104911133
london_024,0.121555547
london_027,0.124583803
london_018,0.125985147
london_009,0.12330844
london_004,0.118689128
london_002,0.125282093
london_015,0.125780336
london_017,0.135118025
london_010,0.126081002
london_014,0.10956391
london_019,0.098878826
london_012,0.105571761
montreal_13,0.151252107
montreal_27,0.141558045
montreal_2,0.147313759
montreal_5,0.086230745
montreal_17,0.072322746
montreal_7,0.107415139
montreal_33,0.112184015
montreal_3,0.114786456
montreal_28,0.125908635
montreal_4,0.11261219
montreal_24,0.118923691
montreal_34,0.032708108
montreal_22,0.132750101
montreal_25,0.122217268
montreal_29,0.116558448
montreal_15,0.140467941
montreal_1,0.11976582
montreal_19,0.11942163
montreal_11,0.111823355
montreal_14,0.114185921
montreal_6,0.101965959
montreal_18,0.095272943
montreal_9,0.121220907
montreal_16,0.124298445
montreal_10,0.128709951
montreal_12,0.147100758
montreal_8,0.16513933
montreal_32,0.160454775
montreal_31,0.179167626
montreal_20,0.154155023
montreal_21,0.116885108
montreal_26,0.144257672
montreal_23,0.134729052
montreal_30,0.108322285
vancouver_039,0.092413333
vancouver_040,0.084571385
vancouver_041,0.107055374
vancouver_042,0.106467443
vancouver_035,0.058608197
vancouver_034,0.075180617
vancouver_030,0.059583309
vancouver_106,0.096205359
vancouver_033,0.096514766
vancouver_036,0.082782307
vancouver_037,0.1002781
vancouver_038,0.097886289
vancouver_043,0.101637096
vancouver_044,0.099190136
vancouver_071,0.102816644
vancouver_047,0.099614824
vancouver_046,0.096602089
vancouver_045,0.101226621
vancouver_090,0.097393939
vancouver_073,0.101408499
vancouver_077,0.09745338
vancouver_068,0.092927398
vancouver_078,0.095745968
vancouver_066,0.091852941
vancouver_049,0.086416137
vancouver_022,0.090666667
vancouver_023,0.087068646
vancouver_029,0.069237796
vancouver_104,0.094966231
vancouver_024,0.070065894
vancouver_015,0.074894737
vancouver_014,0.068397194
vancouver_012,0.061615098
vancouver_013,0.067232456
vancouver_011,0.053790265
vancouver_018,0.043934077
vancouver_017,0.066289474
vancouver_019,0.045958642
vancouver_016,0.071369565
vancouver_020,0.061066327
vancouver_021,0.062356238
vancouver_050,0.067909961
vancouver_051,0.054293652
vancouver_052,0.050412202
vancouver_055,0.068619881
vancouver_054,0.075673822
vancouver_059,0.092998365
vancouver_056,0.076789535
vancouver_058,0.100346773
vancouver_086,0.096902042
vancouver_057,0.098972158
vancouver_085,0.096805526
vancouver_084,0.098353298
vancouver_088,0.100243561
vancouver_087,0.10219241
vancouver_114,0.111627468
vancouver_113,0.116961139
vancouver_116,0.109328513
vancouver_115,0.110042547
vancouver_112,0.104050077
vancouver_082,0.101640914
vancouver_083,0.101701756
vancouver_067,0.101712102
vancouver_111,0.110335797
vancouver_091,0.110613548
vancouver_089,0.096655471
vancouver_081,0.097918613
vancouver_092,0.111508958
vancouver_060,0.08916341
vancouver_053,0.068887728
vancouver_061,0.088647926
vancouver_063,0.088261111
vancouver_062,0.088262138
vancouver_064,0.088444444
vancouver_048,0.078436376
vancouver_097,0.071784685
vancouver_027,0.086161746
vancouver_026,0.078289474
vancouver_025,0.079027841
vancouver_065,0.090266278
vancouver_079,0.09444954
vancouver_080,0.104287668
vancouver_076,0.103743319
vancouver_075,0.103962344
vancouver_074,0.107000307
vancouver_093,0.109377839
